Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth
tests/big/sat/uf100-430/uf100-0490.cnf,true,809792,true,10479,10479,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0491.cnf,true,447000,true,38408,38408,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0485.cnf,true,105667,true,74169,74169,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0452.cnf,true,1163667,true,140307,140307,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0334.cnf,true,518458,true,34990,34990,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0320.cnf,true,258167,true,10173,10173,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0446.cnf,true,530958,true,54638,54638,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0308.cnf,true,307042,true,44753,44753,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0693.cnf,true,1827542,true,235423,235423,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-015.cnf,true,1684208,true,177580,177580,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0687.cnf,true,298958,true,3444,3444,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0877.cnf,true,816667,true,77920,77920,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0863.cnf,true,920458,true,7161,7161,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-029.cnf,true,716042,true,63650,63650,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0136.cnf,true,125458,true,22895,22895,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0888.cnf,true,2274083,true,31899,31899,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0650.cnf,true,95000,true,42619,42619,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0644.cnf,true,1208500,true,365108,365108,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0122.cnf,true,738417,true,98105,98105,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0678.cnf,true,2918958,true,1869859,1869859,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0903.cnf,true,945125,true,94787,94787,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0917.cnf,true,648833,true,63601,63601,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0724.cnf,true,1453083,true,699019,699019,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0730.cnf,true,2135833,true,517328,517328,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0718.cnf,true,68625,true,11954,11954,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0283.cnf,true,2183375,true,740443,740443,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0297.cnf,true,924750,true,140736,140736,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0526.cnf,true,1451667,true,40569,40569,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0240.cnf,true,1230666,true,158935,158935,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0254.cnf,true,1316917,true,1566188,1566188,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0532.cnf,true,861333,true,1534875,1534875,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0268.cnf,true,1293875,true,108561,108561,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0518.cnf,true,454709,true,997578,997578,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0242.cnf,true,566625,true,92188,92188,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0524.cnf,true,584792,true,58378,58378,0,1,"Torus(1, 1)",1000000
