Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth,Number of Variables
tests/satlib/unsat/uuf50-0410.cnf,False,240084,False,115934,6932779,486997,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0376.cnf,False,126417,False,2298,40403,106669,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0362.cnf,False,186167,False,313739,19691032,388264,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0404.cnf,False,111292,False,21237,1082095,277073,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0438.cnf,False,105333,False,20563,1071320,244712,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0389.cnf,False,214083,False,58179,3349875,373581,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0174.cnf,False,121666,False,61784,3337834,616342,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0612.cnf,False,122000,False,20329,1048245,252811,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0606.cnf,False,183334,False,25621,1049300,590444,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0160.cnf,False,239458,False,35916,1900111,398513,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0148.cnf,False,209541,False,57618,3394829,292723,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0809.cnf,False,193416,False,34022,1841254,336154,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0835.cnf,False,122250,False,26694,1397084,311332,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0821.cnf,False,194500,False,64328,3518036,598956,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0766.cnf,False,211375,False,42485,2393129,325911,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0772.cnf,False,224333,False,47564,2517563,526533,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0982.cnf,False,173083,False,8948,200656,372016,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0996.cnf,False,134834,False,9477,291995,314533,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0969.cnf,False,132667,False,90050,4614230,1148970,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0941.cnf,False,111625,False,23896,956061,573283,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0799.cnf,False,187209,False,16554,864454,195002,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0955.cnf,False,149042,False,18528,935563,250229,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0564.cnf,False,165500,False,8728,229204,329388,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0202.cnf,False,209375,False,25975,1370837,291563,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0216.cnf,False,125416,False,31813,1726109,309923,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0570.cnf,False,207333,False,43994,2233696,581920,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0558.cnf,False,156458,False,36132,1691376,621072,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-010.cnf,False,90459,False,18122,754368,405440,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-08.cnf,False,134167,False,101434,6058311,433465,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-038.cnf,False,125125,False,17592,732797,393091,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-039.cnf,False,115833,False,115067,6905736,458552,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-09.cnf,False,188917,False,82155,4782099,475821,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-011.cnf,False,226208,False,39251,2127835,384229,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0559.cnf,False,116666,False,7381,268243,204141,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0217.cnf,False,280042,False,46346,2425858,540286,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0571.cnf,False,243250,False,7663,178069,312363,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0565.cnf,False,269666,False,13281,526035,323949,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0203.cnf,False,117208,False,31266,1779915,221109,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0954.cnf,False,225041,False,57667,3238006,452682,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0798.cnf,False,176583,False,9669,469075,149741,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0940.cnf,False,197000,False,60994,3169500,734116,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0968.cnf,False,118750,False,31028,1434615,551177,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0997.cnf,False,213292,False,36371,1967351,360393,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0983.cnf,False,116375,False,43339,2471645,302051,64,"Grid(8, 8)",100,50
tests/satlib/unsat/uuf50-0773.cnf,False,146917,False,10053,435036,208356,64,"Grid(8, 8)",100,50
